clustering,rx,clus_count,min,median,max,node_cov
leiden.5,rx,8503,11,14,68,0.97
leiden.5,rx,8503,11,14,68,0.97
leiden.5,rx,8503,11,14,68,0.97
leiden.5,rx,8503,11,14,68,0.97
leiden.1,rx,273420,11,11,319,23.98
leiden.1,rx,18686,11,20,319,3.95
leiden.1,rx,14681,11,20,319,3.63
leiden.1,rx,14681,11,20,319,3.63
leiden.01,rx,275641,11,28,3186,76.52
leiden.01,rx,64320,11,34,3186,24.8
leiden.01,rx,34071,11,24,3186,13.2
leiden.01,rx,34071,11,24,3186,13.2
leiden.001,rx,65771,11,98,16481,84.45
leiden.001,rx,43021,12,112,16481,62.31
leiden.001,rx,27581,11,32,16480,23.15
leiden.001,rx,27581,11,32,16480,23.15
