Rx,clus_ct,node_cov,node_count,min,med,max
cen_leiden.5_r2nontree_clusters.tsv,8503,0.00969588766838063,135640,11,14,68
cen_leiden.5_after.tsv,8503,0.00969588766838063,135640,11,14,68
cen_leiden.5_r2nontree_n10_clusters.tsv,8503,0.00969588766838063,135640,11,14,68
cen_leiden.5_nontree_clusters.tsv,8503,0.00969588766838063,135640,11,14,68
cen_leiden.5.tsv,8503,0.00969588766838063,135640,11,14,68
cen_leiden.5_nontree_n10_clusters.tsv,8503,0.00969588766838063,135640,11,14,68
cen_leiden.1_r2nontree_clusters.tsv,14681,0.0362517116487041,507141,11,20,319
cen_leiden.1_after.tsv,14681,0.0362517116487041,507141,11,20,319
cen_leiden.1_r2nontree_n10_clusters.tsv,14681,0.0362517116487041,507141,11,20,319
cen_leiden.1_nontree_clusters.tsv,18686,0.039464564547134,552087,11,20,319
cen_leiden.1.tsv,273420,0.239763847520372,3354161,11,11,319
cen_leiden.1_nontree_n10_clusters.tsv,18686,0.039464564547134,552087,11,20,319
cen_leiden.01_r2nontree_clusters.tsv,34071,0.132038632579612,1847146,11,24,3186
cen_leiden.01_after.tsv,34071,0.132038632579612,1847146,11,24,3186
cen_leiden.01_r2nontree_n10_clusters.tsv,34071,0.132038632579612,1847146,11,24,3186
cen_leiden.01_nontree_clusters.tsv,64320,0.247978546097212,3469080,11,34,3186
cen_leiden.01.tsv,275641,0.765215838579911,10704938,11,28,3186
cen_leiden.01_nontree_n10_clusters.tsv,64320,0.247978546097212,3469080,11,34,3186
cen_leiden.001_r2nontree_clusters.tsv,27581,0.231484385789391,3238336,11,32,16480
cen_leiden.001_after.tsv,27581,0.231484385789391,3238336,11,32,16480
cen_leiden.001_r2nontree_n10_clusters.tsv,27581,0.231484385789391,3238336,11,32,16480
cen_leiden.001_nontree_clusters.tsv,43021,0.623063788990493,8716311,12,112,16481
cen_leiden.001.tsv,65771,0.844510600713281,11814227,11,98,16481
cen_leiden.001_nontree_n10_clusters.tsv,43021,0.623063788990493,8716311,12,112,16481
