Rx,clus_ct,node_cov,node_count,min,med,max
cit_hepph_leiden.5_r2nontree_clusters.tsv,345,0.163781624500666,5658,11,14,55
cit_hepph_leiden.5_after.tsv,345,0.163781624500666,5658,11,14,55
cit_hepph_leiden.5_r2nontree_n10_clusters.tsv,345,0.163781624500666,5658,11,14,55
cit_hepph_leiden.5_nontree_clusters.tsv,345,0.163781624500666,5658,11,14,55
cit_hepph_leiden.5.tsv,345,0.163781624500666,5658,11,14,55
cit_hepph_leiden.5_nontree_n10_clusters.tsv,345,0.163781624500666,5658,11,14,55
cit_hepph_leiden.1_r2nontree_clusters.tsv,741,0.607190412782956,20976,11,20,164
cit_hepph_leiden.1_after.tsv,741,0.607190412782956,20976,11,20,164
cit_hepph_leiden.1_r2nontree_n10_clusters.tsv,741,0.607190412782956,20976,11,20,164
cit_hepph_leiden.1_nontree_clusters.tsv,812,0.63046372952006,21780,11,19,164
cit_hepph_leiden.1.tsv,813,0.63078214554507,21791,11,19,164
cit_hepph_leiden.1_nontree_n10_clusters.tsv,812,0.63046372952006,21780,11,19,164
cit_hepph_leiden.01_r2nontree_clusters.tsv,308,0.830950037630985,28706,11,40,800
cit_hepph_leiden.01_after.tsv,308,0.830950037630985,28706,11,40,800
cit_hepph_leiden.01_r2nontree_n10_clusters.tsv,308,0.830950037630985,28706,11,40,800
cit_hepph_leiden.01_nontree_clusters.tsv,379,0.914664505297285,31598,11,37,800
cit_hepph_leiden.01.tsv,381,0.915417124992763,31624,11,36,800
cit_hepph_leiden.01_nontree_n10_clusters.tsv,379,0.914664505297285,31598,11,37,800
cit_hepph_leiden.001_r2nontree_clusters.tsv,63,0.846205059920107,29233,11,77,3725
cit_hepph_leiden.001_after.tsv,63,0.846205059920107,29233,11,77,3725
cit_hepph_leiden.001_r2nontree_n10_clusters.tsv,63,0.846205059920107,29233,11,77,3725
cit_hepph_leiden.001_nontree_clusters.tsv,68,0.94639032015284,32694,11,75.5,3728
cit_hepph_leiden.001.tsv,68,0.94639032015284,32694,11,75.5,3728
cit_hepph_leiden.001_nontree_n10_clusters.tsv,68,0.94639032015284,32694,11,75.5,3728
