Rx,clus_ct,node_cov,node_count,min,med,max
cit_patents_leiden.5_r2nontree_clusters.tsv,2604,0.0104154745404221,39316,11,13,116
cit_patents_leiden.5_after.tsv,2604,0.0104154745404221,39316,11,13,116
cit_patents_leiden.5_r2nontree_n10_clusters.tsv,2604,0.0104154745404221,39316,11,13,116
cit_patents_leiden.5_nontree_clusters.tsv,2604,0.0104154745404221,39316,11,13,116
cit_patents_leiden.5.tsv,2604,0.0104154745404221,39316,11,13,116
cit_patents_leiden.5_nontree_n10_clusters.tsv,2604,0.0104154745404221,39316,11,13,116
cit_patents_leiden.1_r2nontree_clusters.tsv,49896,0.23837862353395,899824,11,15,327
cit_patents_leiden.1_after.tsv,49896,0.23837862353395,899824,11,15,327
cit_patents_leiden.1_r2nontree_n10_clusters.tsv,49896,0.23837862353395,899824,11,15,327
cit_patents_leiden.1_nontree_clusters.tsv,58504,0.26477097400423,999449,11,14,327
cit_patents_leiden.1.tsv,58826,0.265709309817186,1002991,11,14,327
cit_patents_leiden.1_nontree_n10_clusters.tsv,58504,0.26477097400423,999449,11,14,327
cit_patents_leiden.01_r2nontree_clusters.tsv,53824,0.546511997558525,2062956,11,24,789
cit_patents_leiden.01_after.tsv,53824,0.546511997558525,2062956,11,24,789
cit_patents_leiden.01_r2nontree_n10_clusters.tsv,53824,0.546511997558525,2062956,11,24,789
cit_patents_leiden.01_nontree_clusters.tsv,91453,0.86369837828444,3260261,11,24,789
cit_patents_leiden.01.tsv,114417,0.954971802240562,3604797,11,20,789
cit_patents_leiden.01_nontree_n10_clusters.tsv,91453,0.86369837828444,3260261,11,24,789
cit_patents_leiden.001_r2nontree_clusters.tsv,17327,0.575393772544432,2171978,11,73,3007
cit_patents_leiden.001_after.tsv,17327,0.575393772544432,2171978,11,73,3007
cit_patents_leiden.001_r2nontree_n10_clusters.tsv,17327,0.575393772544432,2171978,11,73,3007
cit_patents_leiden.001_nontree_clusters.tsv,20635,0.979096993510595,3695864,11,104,3009
cit_patents_leiden.001.tsv,21652,0.986757596758264,3724781,11,97,3009
cit_patents_leiden.001_nontree_n10_clusters.tsv,20635,0.979096993510595,3695864,11,104,3009
