,net_name,step,r,clus_count,clus_count_10,node_cov,node_cov_10,mean_size,min_size,med_size,max_size
0,cit_hepph,leiden,0.001,354,68,0.9709083540786199,0.9463903201528396,480.79411764705884,11,75.5,3728
1,cit_hepph,filter,0.001,68,68,0.9463903201528396,0.9463903201528396,480.79411764705884,11,75.5,3728
2,cit_hepph,cm+filter,0.001,63,63,0.8462050599201065,0.8462050599201065,464.015873015873,11,77.0,3725
3,cit_hepph_lfr,leiden,0.001,110,110,1.0,1.0,314.05454545454546,13,84.0,3085
4,cit_hepph_lfr,filter,0.001,110,110,1.0,1.0,314.05454545454546,13,84.0,3085
5,cit_hepph_lfr,cm+filter,0.001,110,110,1.0,1.0,314.05454545454546,13,84.0,3085
6,cit_hepph,leiden,0.01,814,381,0.9617321831760551,0.9154171249927633,83.00262467191601,11,36.0,800
7,cit_hepph,filter,0.01,379,379,0.9146645052972848,0.9146645052972848,83.37203166226912,11,37.0,800
8,cit_hepph,cm+filter,0.01,308,308,0.8309500376309847,0.8309500376309847,93.2012987012987,11,40.0,800
9,cit_hepph_lfr,leiden,0.01,1112,1112,1.0,1.0,31.06654676258993,11,16.0,683
10,cit_hepph_lfr,filter,0.01,1112,1112,1.0,1.0,31.06654676258993,11,16.0,683
11,cit_hepph_lfr,cm+filter,0.01,1112,1112,1.0,1.0,31.06654676258993,11,16.0,683
12,cit_hepph,leiden,0.1,3038,813,0.9390088577548775,0.6307821455450704,26.80319803198032,11,19.0,164
13,cit_hepph,filter,0.1,812,812,0.6304637295200602,0.6304637295200602,26.822660098522167,11,19.0,164
14,cit_hepph,cm+filter,0.1,741,741,0.607190412782956,0.607190412782956,28.307692307692307,11,20.0,164
15,cit_hepph_lfr,leiden,0.1,4861,759,1.0,0.3676836681526081,16.73517786561265,11,14.0,55
16,cit_hepph_lfr,filter,0.1,759,759,0.3676836681526081,0.3676836681526081,16.73517786561265,11,14.0,55
17,cit_hepph_lfr,cm+filter,0.1,748,748,0.36400741040930934,0.36400741040930934,16.81149732620321,11,14.0,55
18,cit_hepph,leiden,0.5,7566,345,0.8491865917906559,0.16378162450066577,16.4,11,14.0,55
19,cit_hepph,filter,0.5,345,345,0.16378162450066577,0.16378162450066577,16.4,11,14.0,55
20,cit_hepph,cm+filter,0.5,345,345,0.16378162450066577,0.16378162450066577,16.4,11,14.0,55
21,cit_hepph_lfr,leiden,0.5,16511,0,0.9821976495107972,0.0,0.0,0,0.0,0
22,cit_hepph_lfr,filter,0.5,0,0,0.0,0.0,0.0,0,0.0,0
23,cit_hepph_lfr,cm+filter,0.5,0,0,0.0,0.0,0.0,0,0.0,0
24,cit_patents,leiden,0.001,29559,21652,0.9941914311025207,0.9867575967582644,172.0294199150194,11,97.0,3009
25,cit_patents,filter,0.001,20635,20635,0.9790969935105945,0.9790969935105945,179.1065665132057,11,104.0,3009
26,cit_patents,cm+filter,0.001,17327,17327,0.5753937725444319,0.5753937725444319,125.352224851388,11,73.0,3007
27,cit_patents_lfr,leiden,0.001,79871,79871,1.0,1.0,47.26080805298544,28,47.0,381
28,cit_patents_lfr,filter,0.001,79871,79871,1.0,1.0,47.26080805298544,28,47.0,381
29,cit_patents_lfr,cm+filter,0.001,79871,79871,1.0,1.0,47.26080805298544,28,47.0,381
30,cit_patents,leiden,0.01,134217,114417,0.9827896707824163,0.9549718022405616,31.505781483520806,11,20.0,789
31,cit_patents,filter,0.01,91453,91453,0.8636983782844403,0.8636983782844403,35.64957956545985,11,24.0,789
32,cit_patents,cm+filter,0.01,53824,53824,0.5465119975585254,0.5465119975585254,38.32780915576694,11,24.0,789
33,cit_patents_lfr,leiden,0.01,198433,190405,1.0,0.9787692912518068,19.40404401144928,11,15.0,247
34,cit_patents_lfr,filter,0.01,190336,190336,0.9785369590925853,0.9785369590925853,19.406470662407532,11,15.0,247
35,cit_patents_lfr,cm+filter,0.01,184846,184846,0.9539365068263798,0.9539365068263798,19.480481049089512,11,15.0,247
36,cit_patents,leiden,0.1,556533,58826,0.9673267337224434,0.2657093098171861,17.05013089450243,11,14.0,327
37,cit_patents,filter,0.1,58504,58504,0.2647709740042302,0.2647709740042302,17.08343019280733,11,14.0,327
38,cit_patents,cm+filter,0.1,49896,49896,0.23837862353394965,0.23837862353394965,18.033990700657366,11,15.0,327
39,cit_patents_lfr,leiden,0.1,390484,102571,0.9998908542193852,0.3689286334948267,13.577131937877178,11,12.0,61
40,cit_patents_lfr,filter,0.1,102571,102571,0.3689286334948267,0.3689286334948267,13.577131937877178,11,12.0,61
41,cit_patents_lfr,cm+filter,0.1,101749,101749,0.3663605286470586,0.3663605286470586,13.591543897237319,11,12.0,61
42,cit_patents,leiden,0.5,1142775,2604,0.721885954315603,0.010415474540422087,15.09831029185868,11,13.0,116
43,cit_patents,filter,0.5,2604,2604,0.010415474540422087,0.010415474540422087,15.09831029185868,11,13.0,116
44,cit_patents,cm+filter,0.5,2604,2604,0.010415474540422087,0.010415474540422087,15.09831029185868,11,13.0,116
45,cit_patents_lfr,leiden,0.5,1750447,0,0.9488938128118073,0.0,0.0,0,0.0,0
46,cit_patents_lfr,filter,0.5,0,0,0.0,0.0,0.0,0,0.0,0
47,cit_patents_lfr,cm+filter,0.5,0,0,0.0,0.0,0.0,0,0.0,0
48,wiki_topcats,leiden,0.001,19495,7859,0.952953660335062,0.9353297731663438,213.21198625779363,11,62.0,21256
49,wiki_topcats,filter,0.001,7493,7493,0.9277868856576847,0.9277868856576847,221.82303483251033,11,63.0,21256
50,wiki_topcats,cm+filter,0.001,5212,5212,0.6394686207953273,0.6394686207953273,219.80065234075212,11,47.0,21256
51,wiki_topcats_lfr,leiden,0.001,14742,14742,1.0,1.0,121.52279202279202,29,48.0,3983
52,wiki_topcats_lfr,filter,0.001,14742,14742,1.0,1.0,121.52279202279202,29,48.0,3983
53,wiki_topcats_lfr,cm+filter,0.001,14742,14742,0.9886407340486043,0.9886407340486043,120.14238230904897,14,47.0,3983
54,wiki_topcats,leiden,0.01,58475,44140,0.9463669606679137,0.9144365385441943,37.11379700951518,11,20.0,2576
55,wiki_topcats,filter,0.01,36778,36778,0.8347720806546957,0.8347720806546957,40.662488444178585,11,22.0,2576
56,wiki_topcats,cm+filter,0.01,19082,19082,0.5548524160628393,0.5548524160628393,52.09160465360025,11,23.0,2576
57,wiki_topcats_lfr,leiden,0.01,63386,62924,0.9999687410863254,0.9974641206281478,28.398480706884495,11,17.0,702
58,wiki_topcats_lfr,filter,0.01,61885,61885,0.9896867912669294,0.9896867912669294,28.650125232285692,11,17.0,702
59,wiki_topcats_lfr,cm+filter,0.01,53928,53928,0.8857788130432283,0.8857788130432283,29.425585966473818,11,17.0,702
60,wiki_topcats,leiden,0.1,240712,27761,0.9042193393316956,0.2928736933355438,18.89989553690429,11,14.0,525
61,wiki_topcats,filter,0.1,25264,25264,0.2775417543730383,0.2775417543730383,19.680691893603548,11,15.0,525
62,wiki_topcats,cm+filter,0.1,21292,21292,0.2521316067249087,0.2521316067249087,21.214117978583506,11,16.0,525
63,wiki_topcats_lfr,leiden,0.1,202903,70784,0.9964504387132714,0.5909078984018322,14.95542778028933,11,13.0,167
64,wiki_topcats_lfr,filter,0.1,70784,70784,0.5909078984018322,0.5909078984018322,14.95542778028933,11,13.0,167
65,wiki_topcats_lfr,cm+filter,0.1,64827,64827,0.5528853372808876,0.5528853372808876,15.278942415968656,11,13.0,167
66,wiki_topcats,leiden,0.5,455118,2680,0.6791691157467336,0.022511441599697236,15.04813432835821,11,13.0,155
67,wiki_topcats,filter,0.5,2680,2680,0.022511441599697236,0.022511441599697236,15.04813432835821,11,13.0,155
68,wiki_topcats,cm+filter,0.5,2680,2680,0.022511441599697236,0.022511441599697236,15.04813432835821,11,13.0,155
69,wiki_topcats_lfr,leiden,0.5,872436,31,0.984192478993731,0.00023611643722065833,13.64516129032258,11,12.0,31
70,wiki_topcats_lfr,filter,0.5,31,31,0.00023611643722065833,0.00023611643722065833,13.64516129032258,11,12.0,31
71,wiki_topcats_lfr,cm+filter,0.5,31,31,0.00023611643722065833,0.00023611643722065833,13.64516129032258,11,12.0,31
72,cen,leiden,0.001,66319,65737,0.843680974701196,0.8435091307469437,179.50647276267551,11,97.0,13736
73,cen,filter,0.001,42897,42897,0.6212789421960971,0.6212789421960971,202.6095531156025,12,110.0,13736
74,cen,cm+filter,0.001,27363,27363,0.23192707697436837,0.23192707697436837,118.57358476775208,11,33.0,13736
75,cen_lfr,leiden,0.001,42405,42405,1.0,1.0,70.74637424831977,27,48.0,2059
76,cen_lfr,filter,0.001,42405,42405,1.0,1.0,70.74637424831977,27,48.0,2059
77,cen_lfr,cm+filter,0.001,42405,42405,0.964734,0.964734,68.25143261407852,18,48.0,1919
78,cen,leiden,0.01,280492,275801,0.76830631342107,0.7656279352505705,38.83489544998024,11,28.0,3217
79,cen,filter,0.01,64665,64665,0.2487569906320741,0.2487569906320741,53.815356065877985,11,34.0,3217
80,cen,cm+filter,0.01,34323,34322,0.13220911836617288,0.132208403541072,53.88733174057456,11,24.0,3217
81,cen_lfr,leiden,0.01,135648,131892,0.999989,0.9874893333333333,22.4613168349862,11,16.0,307
82,cen_lfr,filter,0.01,131879,131879,0.9874353333333333,0.9874353333333333,22.46230256523025,11,16.0,307
83,cen_lfr,cm+filter,0.01,117702,117702,0.889477,0.889477,22.671076107457818,11,16.0,307
84,cen,leiden,0.1,517205,274600,0.40415360562069835,0.2404588004834505,12.250120174799708,11,11.0,319
85,cen,filter,0.1,18705,18705,0.03924661437387469,0.03924661437387469,29.352472600908847,11,19.0,319
86,cen,cm+filter,0.1,14537,14537,0.035910311180522216,0.035910311180522216,34.557680401733506,11,20.0,319
87,cen_lfr,leiden,0.1,717563,332,1.0,0.001835,16.58132530120482,11,12.0,125
88,cen_lfr,filter,0.1,332,332,0.001835,0.001835,16.58132530120482,11,12.0,125
89,cen_lfr,cm+filter,0.1,286,286,0.0016233333333333334,0.0016233333333333334,17.027972027972027,11,13.0,125
