Rx,clus_ct,node_cov,node_count,min,med,max
lfr_wtp_0.5_leiden.5_r2nontree_clusters.tsv,9907,0.0775756926221707,138976,11,13,28
lfr_wtp_0.5_leiden.5_after.tsv,9907,0.0775756926221707,138976,11,13,28
lfr_wtp_0.5_leiden.5_r2nontree_n10_clusters.tsv,9907,0.0775756926221707,138976,11,13,28
lfr_wtp_0.5_leiden.5_nontree_clusters.tsv,9907,0.0775756926221707,138976,11,13,28
lfr_wtp_0.5_leiden.5.tsv,9907,0.0775756926221707,138976,11,13,28
lfr_wtp_0.5_leiden.5_nontree_n10_clusters.tsv,9907,0.0775756926221707,138976,11,13,28
lfr_wtp_0.5_leiden.1_r2nontree_clusters.tsv,39516,0.771545903993829,1382216,11,32,95
lfr_wtp_0.5_leiden.1_after.tsv,39516,0.771545903993829,1382216,11,32,95
lfr_wtp_0.5_leiden.1_r2nontree_n10_clusters.tsv,39516,0.771545903993829,1382216,11,32,95
lfr_wtp_0.5_leiden.1_nontree_clusters.tsv,39596,0.772126984871244,1383257,11,32,95
lfr_wtp_0.5_leiden.1.tsv,39596,0.772126984871244,1383257,11,32,95
lfr_wtp_0.5_leiden.1_nontree_n10_clusters.tsv,39596,0.772126984871244,1383257,11,32,95
lfr_wtp_0.5_leiden.01_r2nontree_clusters.tsv,39949,0.965442154542953,1729579,11,37,100
lfr_wtp_0.5_leiden.01_after.tsv,39949,0.965442154542953,1729579,11,37,100
lfr_wtp_0.5_leiden.01_r2nontree_n10_clusters.tsv,39949,0.965442154542953,1729579,11,37,100
lfr_wtp_0.5_leiden.01_nontree_clusters.tsv,40423,0.995738740232287,1783855,11,37,101
lfr_wtp_0.5_leiden.01.tsv,40721,0.998122790594863,1788126,11,37,101
lfr_wtp_0.5_leiden.01_nontree_n10_clusters.tsv,40423,0.995738740232287,1783855,11,37,101
lfr_wtp_0.5_leiden.001_r2nontree_clusters.tsv,25134,0.969908271834212,1737580,11,71,129
lfr_wtp_0.5_leiden.001_after.tsv,25134,0.969908271834212,1737580,11,71,129
lfr_wtp_0.5_leiden.001_r2nontree_n10_clusters.tsv,25134,0.969908271834212,1737580,11,71,129
lfr_wtp_0.5_leiden.001_nontree_clusters.tsv,24590,1,1791489,28,72,138
lfr_wtp_0.5_leiden.001.tsv,24590,1,1791489,28,72,138
lfr_wtp_0.5_leiden.001_nontree_n10_clusters.tsv,24590,1,1791489,28,72,138
