Rx,clus_ct,node_cov,node_count,min,med,max
orkut_leiden.5_r2nontree_clusters.tsv,45235,0.302469925378551,929321,11,16,194
orkut_leiden.5_after.tsv,45235,0.302469925378551,929321,11,16,194
orkut_leiden.5_r2nontree_n10_clusters.tsv,45235,0.302469925378551,929321,11,16,194
orkut_leiden.5_nontree_clusters.tsv,45235,0.302469925378551,929321,11,16,194
orkut_leiden.5.tsv,45235,0.302469925378551,929321,11,16,194
orkut_leiden.5_nontree_n10_clusters.tsv,45235,0.302469925378551,929321,11,16,194
orkut_leiden.1_r2nontree_clusters.tsv,55954,0.633964655464499,1947819,11,21,1396
orkut_leiden.1_after.tsv,55954,0.633964655464499,1947819,11,21,1396
orkut_leiden.1_r2nontree_n10_clusters.tsv,55954,0.633964655464499,1947819,11,21,1396
orkut_leiden.1_nontree_clusters.tsv,59298,0.646387025820838,1985986,11,20,1396
orkut_leiden.1.tsv,59495,0.647092328217206,1988153,11,20,1396
orkut_leiden.1_nontree_n10_clusters.tsv,59298,0.646387025820838,1985986,11,20,1396
orkut_leiden.01_r2nontree_clusters.tsv,25344,0.818605792592925,2515118,11,37,12383
orkut_leiden.01_after.tsv,25344,0.818605792592925,2515118,11,37,12383
orkut_leiden.01_r2nontree_n10_clusters.tsv,25344,0.818605792592925,2515118,11,37,12383
orkut_leiden.01_nontree_clusters.tsv,37361,0.934704035000184,2871823,11,28,12383
orkut_leiden.01.tsv,41557,0.955481000286092,2935659,11,25,12383
orkut_leiden.01_nontree_n10_clusters.tsv,37361,0.934704035000184,2871823,11,28,12383
orkut_leiden.001_r2nontree_clusters.tsv,5120,0.832219723665971,2556946,11,100,61975
orkut_leiden.001_after.tsv,5120,0.832219723665971,2556946,11,100,61975
orkut_leiden.001_r2nontree_n10_clusters.tsv,5120,0.832219723665971,2556946,11,100,61975
orkut_leiden.001_nontree_clusters.tsv,6362,0.960472145762929,2950994,11,119,61975
orkut_leiden.001.tsv,6454,0.961717409707786,2954820,11,116,61975
orkut_leiden.001_nontree_n10_clusters.tsv,6362,0.960472145762929,2950994,11,119,61975
