Rx,clus_ct,node_cov,node_count,min,med,max
roadnet_leiden.1_after.tsv,743,0.00423212630126307,8317,11,11,14
roadnet_leiden.1_nontree_clusters.tsv,983,0.00558007659247936,10966,11,11,14
roadnet_leiden.1_nontree_n10_clusters.tsv,983,0.00558007659247936,10966,11,11,14
roadnet_leiden.1_r2nontree_clusters.tsv,743,0.00423212630126307,8317,11,11,14
roadnet_leiden.1_r2nontree_n10_clusters.tsv,743,0.00423212630126307,8317,11,11,14
roadnet_leiden.1.tsv,983,0.00558007659247936,10966,11,11,14
roadnet_leiden.01_after.tsv,60745,0.604933528597002,1188819,11,18,58
roadnet_leiden.01_nontree_clusters.tsv,84334,0.919344333367596,1806701,11,20,58
roadnet_leiden.01_nontree_n10_clusters.tsv,84334,0.919344333367596,1806701,11,20,58
roadnet_leiden.01_r2nontree_clusters.tsv,60745,0.604933528597002,1188819,11,18,58
roadnet_leiden.01_r2nontree_n10_clusters.tsv,60745,0.604933528597002,1188819,11,18,58
roadnet_leiden.01.tsv,90477,0.963439456219857,1893357,11,20,58
roadnet_leiden.001_after.tsv,24436,0.71225204889462,1399722,11,57,99
roadnet_leiden.001_nontree_clusters.tsv,24628,0.991193289660219,1947899,11,77,241
roadnet_leiden.001_nontree_n10_clusters.tsv,24628,0.991193289660219,1947899,11,77,241
roadnet_leiden.001_r2nontree_clusters.tsv,24436,0.71225204889462,1399722,11,57,99
roadnet_leiden.001_r2nontree_n10_clusters.tsv,24436,0.71225204889462,1399722,11,57,99
roadnet_leiden.001.tsv,25013,0.996638520338326,1958600,11,77,241
