Rx,clus_ct,node_cov,node_count,min,med,max
wiki_talk_leiden.5_r2nontree_clusters.tsv,60,0.000556719157528969,1333,11,15,149
wiki_talk_leiden.5_after.tsv,60,0.000556719157528969,1333,11,15,149
wiki_talk_leiden.5_r2nontree_n10_clusters.tsv,60,0.000556719157528969,1333,11,15,149
wiki_talk_leiden.5_nontree_clusters.tsv,60,0.000556719157528969,1333,11,15,149
wiki_talk_leiden.5.tsv,60,0.000556719157528969,1333,11,15,149
wiki_talk_leiden.5_nontree_n10_clusters.tsv,60,0.000556719157528969,1333,11,15,149
wiki_talk_leiden.1_r2nontree_clusters.tsv,38,0.00075760581527198,1814,11,14.5,1142
wiki_talk_leiden.1_after.tsv,38,0.00075760581527198,1814,11,14.5,1142
wiki_talk_leiden.1_r2nontree_n10_clusters.tsv,38,0.00075760581527198,1814,11,14.5,1142
wiki_talk_leiden.1_nontree_clusters.tsv,167,0.00135567170693101,3246,11,11,1142
wiki_talk_leiden.1.tsv,1432,0.00716718489298922,17161,11,11,1142
wiki_talk_leiden.1_nontree_n10_clusters.tsv,167,0.00135567170693101,3246,11,11,1142
wiki_talk_leiden.01_r2nontree_clusters.tsv,176,0.00147470018397208,3531,11,15,99
wiki_talk_leiden.01_after.tsv,176,0.00147470018397208,3531,11,15,99
wiki_talk_leiden.01_r2nontree_n10_clusters.tsv,176,0.00147470018397208,3531,11,15,99
wiki_talk_leiden.01_nontree_clusters.tsv,2627,0.0332828680433598,79692,11,24,200
wiki_talk_leiden.01.tsv,16301,0.319009683071018,763832,11,30,200
wiki_talk_leiden.01_nontree_n10_clusters.tsv,2627,0.0332828680433598,79692,11,24,200
wiki_talk_leiden.001_r2nontree_clusters.tsv,453,0.00635653831777262,15220,11,17,4680
wiki_talk_leiden.001_after.tsv,453,0.00635653831777262,15220,11,17,4680
wiki_talk_leiden.001_r2nontree_n10_clusters.tsv,453,0.00635653831777262,15220,11,17,4680
wiki_talk_leiden.001_nontree_clusters.tsv,3368,0.246303330500316,589745,11,98,4680
wiki_talk_leiden.001.tsv,9341,0.779743859070283,1867007,11,86,4680
wiki_talk_leiden.001_nontree_n10_clusters.tsv,3368,0.246303330500316,589745,11,98,4680
