Rx,clus_ct,node_cov,node_count,min,med,max
wiki_topcats_leiden.5_r2nontree_clusters.tsv,2680,0.0225114415996972,40329,11,13,155
wiki_topcats_leiden.5_after.tsv,2680,0.0225114415996972,40329,11,13,155
wiki_topcats_leiden.5_r2nontree_n10_clusters.tsv,2680,0.0225114415996972,40329,11,13,155
wiki_topcats_leiden.5_nontree_clusters.tsv,2680,0.0225114415996972,40329,11,13,155
wiki_topcats_leiden.5.tsv,2680,0.0225114415996972,40329,11,13,155
wiki_topcats_leiden.5_nontree_n10_clusters.tsv,2680,0.0225114415996972,40329,11,13,155
wiki_topcats_leiden.1_r2nontree_clusters.tsv,21292,0.252131606724909,451691,11,16,525
wiki_topcats_leiden.1_after.tsv,21292,0.252131606724909,451691,11,16,525
wiki_topcats_leiden.1_r2nontree_n10_clusters.tsv,21292,0.252131606724909,451691,11,16,525
wiki_topcats_leiden.1_nontree_clusters.tsv,25264,0.277541754373038,497213,11,15,525
wiki_topcats_leiden.1.tsv,27761,0.292873693335544,524680,11,14,525
wiki_topcats_leiden.1_nontree_n10_clusters.tsv,25264,0.277541754373038,497213,11,15,525
wiki_topcats_leiden.01_r2nontree_clusters.tsv,19082,0.554852416062839,994012,11,23,2576
wiki_topcats_leiden.01_after.tsv,19082,0.554852416062839,994012,11,23,2576
wiki_topcats_leiden.01_r2nontree_n10_clusters.tsv,19082,0.554852416062839,994012,11,23,2576
wiki_topcats_leiden.01_nontree_clusters.tsv,36778,0.834772080654696,1495485,11,22,2576
wiki_topcats_leiden.01.tsv,44140,0.914436538544194,1638203,11,20,2576
wiki_topcats_leiden.01_nontree_n10_clusters.tsv,36778,0.834772080654696,1495485,11,22,2576
wiki_topcats_leiden.001_r2nontree_clusters.tsv,5212,0.639468620795327,1145601,11,47,21256
wiki_topcats_leiden.001_after.tsv,5212,0.639468620795327,1145601,11,47,21256
wiki_topcats_leiden.001_r2nontree_n10_clusters.tsv,5212,0.639468620795327,1145601,11,47,21256
wiki_topcats_leiden.001_nontree_clusters.tsv,7493,0.927786885657685,1662120,11,63,21256
wiki_topcats_leiden.001.tsv,7859,0.935329773166344,1675633,11,62,21256
wiki_topcats_leiden.001_nontree_n10_clusters.tsv,7493,0.927786885657685,1662120,11,63,21256
